Номенклатура,Номенклатура.Код,янв. 2024,февр. 2024,март 2024,апр. 2024,май 2024,июнь 2024,июль 2024,авг. 2024,сент. 2024,окт. 2024,нояб. 2024,дек. 2024,янв. 2025,февр. 2025,март 2025,апр. 2025,май 2025,июнь 2025,июль 2025,авг. 2025,сент. 2025,окт. 2025,нояб. 2025,дек. 2025,янв. 2026,февр. 2026,март 2026,апр. 2026,май 2026,июнь 2026,июль 2026,авг. 2026,сент. 2026,Итого
"Выкл 1-кл. с инд. 10А б/рамки ""BRITE"" жемчуг (1/100)",030200421_,5,43,,11,5,2,12,24,13,5,4,26,,10,2,,6,,,10,9,,,2,,,,15,,5,,,,209
"Выкл 1-кл. с инд. 10А б/рамки ""BRITE"" маренго (1/100)",030200552_,,,3,1,5,1,3,1,6,,,,,,8,,,,,,6,,,,,2,,,,,,,,36
"Выкл 1-кл. с инд. 10А б/рамки ""BRITE"" сталь (1/100)",030200501_,31,43,73,45,11,10,37,23,20,25,10,51,25,48,1,,27,10,21,52,-14,-18,,5,,,,11,10,6,4,28,4,599
"Выкл 1-кл. с инд. 10А б/рамки ""BRITE"" темная бронза (1/100)",030200812_,,,,10,,,3,,5,,,,,,,,,,,,,,,,,,,5,,,12,,,35
"Выкл 1-кл. с инд. 10А б/рамки ""BRITE"" черный (1/100)",030200487_,105,51,68,68,48,49,44,95,74,50,17,43,44,63,40,25,13,31,95,51,74,22,39,36,52,40,15,2,47,22,33,42,10,1508
"Выкл 1-кл. с инд. 10А б/рамки ""BRITE"" шампань (1/100)",030200436_,1,16,-9,,8,,26,,,,13,3,,,14,,,7,3,,,,,1,,1,,2,4,,4,1,8,103
"Выкл 1-кл. с инд. б/рамки ""BRITE"" алюминий (1/100)",030200408_,16,5,,30,3,46,8,42,10,20,14,20,,20,4,10,35,44,20,70,,1,32,30,38,1,,,13,40,1,20,12,605
"Выкл 2-кл перекр 10А б/рамки ""BRITE"" алюминий (1/100)",030201246_,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
"Выкл 2-кл перекр 10А б/рамки ""BRITE"" бежевый (1/100)",030201248_,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,10,14,,,4,8,40
"Выкл 2-кл перекр 10А б/рамки ""BRITE"" белый (1/100)",030201244_,,,,,,,,,,,,,,,,,,,,,1,4,29,8,27,4,12,16,2,9,10,7,7,136
"Выкл 2-кл перекр 10А б/рамки ""BRITE"" графит (1/100)",030201245_,,,,,,,,,,,,,,,,,,,,,3,1,13,2,10,1,2,,,,,,,32
"Выкл 2-кл перекр 10А б/рамки ""BRITE"" жемчуг (1/100)",030201247_,,,,,,,,,,,,,,,,,,,,,,2,4,1,1,,3,,1,,,,1,13
"Выкл 2-кл перекр 10А б/рамки ""BRITE"" сталь (1/100)",030201250_,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,8,1,,14
"Выкл 2-кл перекр 10А б/рамки ""BRITE"" черный (1/100)",030201236_,,,,,,,,,,,,,,,,,,,,,2,,12,44,115,22,6,17,3,24,4,1,10,260
"Выкл 2-кл перекр 10А б/рамки ""BRITE"" шампань (1/100)",030201252_,,,,,,,,,,,,,,,,,,,,,1,,3,,,4,1,10,,1,,1,1,22
"Выкл 2-кл. 10А б/рамки ""BRITE"" алюминий (1/100)",030200409_,53,96,71,103,61,98,69,55,86,45,82,8,50,74,29,29,39,27,63,78,59,13,24,106,75,25,53,33,61,14,27,165,31,1902
"Выкл 2-кл. 10А б/рамки ""BRITE"" бежевый (1/100)",030200830_,23,12,18,25,20,28,58,63,29,75,66,2,66,32,57,43,40,34,65,43,32,67,21,51,43,9,33,52,90,14,23,34,36,1304
"Выкл 2-кл. 10А б/рамки ""BRITE"" белый (1/100)",030200515_,159,295,222,267,157,236,303,363,254,125,382,274,465,395,245,134,205,326,400,520,164,265,224,200,265,149,196,167,152,301,137,214,168,8329
"Выкл 2-кл. 10А б/рамки ""BRITE"" графит (1/100)",030200474_,277,267,220,367,127,193,225,340,222,87,226,107,282,253,179,233,159,97,175,191,95,138,97,140,126,79,76,38,114,123,34,50,61,5398
"Выкл 2-кл. 10А б/рамки ""BRITE"" жемчуг (1/100)",030200422_,53,129,108,74,66,33,95,166,25,27,38,30,40,25,41,20,61,64,20,60,67,31,31,14,22,14,13,15,33,11,13,13,12,1464
"Выкл 2-кл. 10А б/рамки ""BRITE"" маренго (1/100)",030200553_,35,65,3,8,,,34,10,12,9,2,13,6,2,15,5,4,3,,31,11,4,29,2,,1,1,2,4,2,8,,,321
"Выкл 2-кл. 10А б/рамки ""BRITE"" сталь (1/100)",030200502_,128,199,158,98,103,130,150,298,77,112,120,226,116,135,155,93,124,84,85,228,77,193,142,97,97,45,28,36,10,51,52,174,45,3866
"Выкл 2-кл. 10А б/рамки ""BRITE"" темная бронза (1/100)",030200813_,10,4,33,22,23,8,20,16,19,3,12,14,,10,24,3,41,48,34,18,9,20,13,,13,6,13,19,4,2,10,17,2,490
"Выкл 2-кл. 10А б/рамки ""BRITE"" черный (1/100)",030200488_,454,708,634,448,559,561,469,470,762,492,672,558,461,372,616,289,358,564,676,706,425,513,406,654,424,373,240,331,441,284,409,511,202,16042
"Выкл 2-кл. 10А б/рамки ""BRITE"" шампань (1/100)",030200437_,78,139,75,73,174,40,60,140,46,37,71,109,93,67,47,131,116,142,172,139,80,108,130,72,81,77,94,74,57,168,33,48,65,3036
"Выкл 2-кл. 10А в сборе ""BRITE"" белый (1/100)",030200450_,229,187,265,249,187,280,542,234,817,346,350,704,314,429,193,245,537,389,462,381,455,605,981,590,257,376,784,314,462,169,351,300,189,13173
"Выкл 2-кл. прох. 10А б/рамки ""BRITE"" бежевый (1/100)",030200840_,4,3,12,,4,,12,24,8,15,13,1,3,,,8,,18,6,14,,10,10,4,1,2,12,2,18,16,4,6,24,254
"Выкл 2-кл. прох. 10А б/рамки ""BRITE"" белый (1/100)",030200470_,47,96,70,95,57,33,77,42,55,28,17,79,67,72,22,44,56,88,87,100,44,41,126,70,46,45,71,65,72,40,66,57,57,2032
"Выкл 2-кл. прох. 10А б/рамки ""BRITE"" графит (1/100)",030200484_,100,40,54,25,16,48,14,68,28,25,17,10,19,31,57,18,7,31,24,-11,50,17,34,4,8,23,1,1,30,13,,5,4,811
"Выкл 2-кл. прох. 10А б/рамки ""BRITE"" жемчуг (1/100)",030200433_,8,10,12,14,10,,24,1,4,2,2,,2,16,7,2,6,11,,5,8,13,2,5,,3,,,9,4,,4,,184
"Выкл 2-кл. прох. 10А б/рамки ""BRITE"" маренго (1/100)",030200563_,2,10,1,,,2,12,2,,,2,,11,,2,19,,,,2,,,,,,,,,,,,,,65
"Выкл 2-кл. прох. 10А б/рамки ""BRITE"" сталь (1/100)",030200512_,18,9,9,32,14,30,17,12,8,,,12,44,39,33,10,5,10,23,40,-6,-6,9,22,,2,1,,-10,6,20,27,13,443
"Выкл 2-кл. прох. 10А б/рамки ""BRITE"" темная бронза (1/100)",030200823_,,,4,,18,5,10,,,6,,,,,2,,10,5,1,8,,1,100,1,,,,3,,,1,6,,181
"Выкл 2-кл. прох. 10А б/рамки ""BRITE"" черный (1/100)",030200498_,117,61,236,112,69,-6,55,51,59,37,38,85,72,63,54,42,30,254,91,92,14,88,70,112,-39,3,40,51,1,31,89,50,17,2139
"Выкл 2-кл. прох. 10А б/рамки ""BRITE"" шампань (1/100)",030200447_,27,16,4,5,11,8,20,14,12,,10,1,4,4,10,40,2,,16,18,21,1,106,13,12,37,9,4,,28,,7,14,474
"Выкл 2-кл. прох. б/рамки ""BRITE"" алюминий (1/100)",030200419_,,16,,12,13,,23,,4,1,-16,,,10,10,4,4,2,1,20,,3,,2,,10,-1,5,-10,,,2,3,118
"Выкл 2-кл. с инд. 10А б/рамки ""BRITE"" бежевый (1/100)",030200831_,,,,,,,,,,5,2,2,,,4,,,3,1,,,,,,,8,,8,2,3,,,4,42
"Выкл 2-кл. с инд. 10А б/рамки ""BRITE"" белый (1/100)",030200451_,21,4,1,41,17,8,67,8,60,10,28,20,44,80,37,11,20,57,4,84,34,4,5,45,55,60,30,6,82,4,47,30,,1024
"Выкл 2-кл. с инд. 10А б/рамки ""BRITE"" графит (1/100)",030200475_,26,13,5,60,47,,10,20,26,5,20,17,22,7,4,9,10,,7,-2,14,11,2,19,1,2,,2,20,5,,5,14,401
"Выкл 2-кл. с инд. 10А б/рамки ""BRITE"" жемчуг (1/100)",030200423_,8,10,10,20,5,,11,10,5,2,3,10,,,,,1,,,,4,,,4,,,,,,8,,,,111
"Выкл 2-кл. с инд. 10А б/рамки ""BRITE"" маренго (1/100)",030200554_,,,1,,,,1,,17,,,,,,5,-1,,,,,3,,,,,1,,,,,,,,27
"Выкл 2-кл. с инд. 10А б/рамки ""BRITE"" сталь (1/100)",030200503_,21,20,11,1,9,10,5,33,5,18,10,10,37,10,12,,12,5,3,30,23,-19,,25,,,,10,,6,,1,,308
"Выкл 2-кл. с инд. 10А б/рамки ""BRITE"" темная бронза (1/100)",030200814_,,,,10,,1,3,,,,,,,,,,,,,,,,,,,,,2,,,2,,,18
"Выкл 2-кл. с инд. 10А б/рамки ""BRITE"" черный (1/100)",030200489_,73,46,60,40,25,31,29,2,33,80,20,51,20,69,20,6,19,32,43,10,10,14,21,25,,43,5,41,10,4,29,12,,923
"Выкл 2-кл. с инд. 10А б/рамки ""BRITE"" шампань (1/100)",030200438_,14,6,-3,,5,,3,,,,5,6,,,5,,,3,2,,,,,1,1,,,,1,,2,5,1,57
"Выкл 2-кл. с инд. б/рамки ""BRITE"" алюминий (1/100)",030200410_,,1,22,20,22,,2,,,10,-35,10,,10,1,,,10,10,50,,1,1,,,10,,10,10,,,,,165
"Выкл 3-кл. 10А  б/рамки ""BRITE"" жемчуг (1/100)",030200739_,10,7,21,12,6,1,,30,10,5,3,1,,1,,2,,2,,,7,6,1,11,1,4,,,,6,,,,147
"Выкл 3-кл. 10А  б/рамки ""BRITE"" сталь (1/100)",030200741_,8,,39,2,16,23,11,33,1,1,,11,,11,9,1,6,13,,23,1,10,14,12,,,,-2,,1,2,22,8,276
"Выкл 3-кл. 10А  б/рамки ""BRITE"" чёрный (1/100)",030200744_,77,15,39,21,67,38,19,126,62,37,96,20,54,13,56,17,41,35,32,66,21,34,24,173,10,65,4,75,46,42,18,24,11,1478
"Выкл 3-кл. 10А  б/рамки ""BRITE"" шампань (1/100)",030200752_,12,13,10,1,5,1,2,27,1,3,11,12,,1,2,12,27,4,1,14,13,3,6,13,2,11,,16,,12,2,2,5,244
"Выкл 3-кл. 10А 10А б/рамки ""BRITE"" графит (1/100)",030200743_,44,13,18,28,8,21,33,10,-4,-12,20,8,17,33,13,,4,6,5,16,14,10,11,5,11,13,,18,16,12,,1,3,395
"Выкл 3-кл. 10А б/рамки ""BRITE"" алюминий (1/100)",030200740_,3,8,,4,,3,2,11,,-30,,,,1,1,10,1,,8,20,1,,5,,,2,1,3,,,,16,10,80
"Выкл 3-кл. 10А б/рамки ""BRITE"" бежевый (1/100)",030200841_,,1,1,,,10,10,4,11,1,,,,,1,2,,,3,16,-6,,1,,,1,,,45,,,6,,107
"Выкл 3-кл. 10А б/рамки ""BRITE"" белый (1/100)",030200452_,37,27,12,38,5,37,35,43,39,8,4,29,74,26,39,13,50,49,61,127,31,17,56,77,46,37,19,90,34,42,20,84,158,1464
"Выкл 3-кл. 10А б/рамки ""BRITE"" маренго (1/100)",030200772_,5,20,1,,,,10,3,,1,2,,,1,,,,,,,,,,,,,,,,,2,,,45
"Выкл 3-кл. 10А б/рамки ""BRITE"" темная бронза (1/100)",030200824_,5,,2,,4,6,10,1,1,,,3,,1,30,10,3,,13,,,,1,,,,1,8,,2,,1,3,105
"Выкл жалюзи 10А б/рамки ""BRITE"" бежевый (1/100)",030200846_,,,,,,,10,,,,,,,,,,,2,4,,,,,,1,,,,,24,,,,41
"Выкл. 1-кл. самовозвратн. 10А ""BRITE"" алюминий (1/100)",030200974_,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,5
"Выкл. 1-кл. самовозвратн. 10А ""BRITE"" белый (1/100)",030200970_,80,9,15,-1,20,,10,7,,12,10,56,91,,,4,14,31,-17,22,6,4,4,19,,,142,20,,19,82,71,3,733
"Выкл. 1-кл. самовозвратн. 10А ""BRITE"" графит (1/100)",030200972_,,,1,,,,7,,,,1,3,1,,2,,,,,,,,,4,,,,3,,,1,,,23
"Выкл. 1-кл. самовозвратн. 10А ""BRITE"" сталь (1/100)",030200973_,,,,,,,,,1,,,2,,1,,,,,,3,,,,,,,,,,,,,,7
"Выкл. 1-кл. самовозвратн. 10А ""BRITE"" черный (1/100)",030200971_,,10,7,1,14,6,11,,5,4,,,,,,1,5,,2,12,3,1,,10,,,,,,,5,5,,102
"Выкл. жалюзи 10А ""BRITE"" алюминий (1/100)",030200946_,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,1,,,,,,6
"Выкл. жалюзи 10А ""BRITE"" белый (1/100)",030200774_,,1,1,2,12,1,15,,7,,5,10,,,,1,17,9,1,,18,4,2,18,,,17,2,12,25,,30,,210
"Выкл. жалюзи 10А ""BRITE"" графит (1/100)",030200944_,13,,,,,,,,4,4,,1,,,,,,,,,10,,,2,,,,,,,,,,34
"Выкл. жалюзи 10А ""BRITE"" сталь (1/100)",030200945_,,,,,,,10,,,,,,,,10,,,,,8,,,,2,,,1,1,1,,6,,,39
"Выкл. жалюзи 10А ""BRITE"" черный (1/100)",030200943_,,,,,1,,10,,,6,1,,,2,2,1,,,5,,,,1,91,,,,,,1,,2,,123
Выкл. конц. C6N-108 рег. рычаг с рол. IP67 IEK,010400949_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
Выкл. конц. C6N-122 толк. с наж. рол. IP67 IEK,010400953_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,9
Выкл. нагрузки ВН-32 (1ф)  63А IEK (240) !!!,010500017_,,,,,,,,,,,,,96,,,,,1,,1,,4,,,,,,,,,,,,102
Выкл. нагрузки ВН-32 (2ф)  32А IEK (120) !!!,010500029_,,,,,,,,6,1,1,7,2,6,,,,,,4,,1,2,,,,,,,,,,,,30
Выкл. нагрузки ВН-32 (2ф)  40А IEK (120) !!!,010500030_,,,,,,,,,50,,,,,,,1,,10,,,,,,,,,,,,,,,,61
Выкл. нагрузки ВН-32 (2ф)  63А IEK (120) !!!,010500031_,,,,,126,,3,80,29,,,,,,,,,,,,,,74,,,,,,,,,,,312
Выкл. нагрузки ВН-32 (3ф)  20А IEK (4/80),010500111_,,,,,,,,,,,,,,2,1,11,,26,1,42,58,22,21,30,1,,1,,40,6,7,5,3,277
Выкл. нагрузки ВН-32 (3ф)  25А IEK (4/80) !!!,010500101_,,,,,,1,,,,,,4,,,,,,,,,,,1,,,,26,,,,11,20,,63
Выкл. нагрузки ВН-32 (3ф)  32А IEK (4/80),010500102_,9,2,6,21,23,20,17,35,2,37,38,77,4,21,18,13,28,23,7,37,39,21,25,40,20,13,18,3,31,43,15,15,17,738
Выкл. нагрузки ВН-32 (3ф)  40А IEK (4/80),010500041_,4,5,,10,3,4,4,10,,9,21,70,2,5,20,14,5,4,14,34,46,8,20,16,8,25,3,3,,10,9,9,14,409
Выкл. нагрузки ВН-32 (3ф)  63А IEK (4/80),010500042_,11,2,27,17,40,25,12,9,22,10,57,4,,,22,7,35,4,23,45,30,9,2,26,23,5,3,13,35,8,59,7,2,594
Выкл. нагрузки ВН-32 (3ф) 100А IEK (4/80),010500040_,6,9,6,23,26,19,20,39,1,13,38,19,11,14,23,9,3,9,13,14,4,15,2,8,4,6,27,22,41,2,7,11,4,468
Выкл. нагрузки ВН-32 (3ф) 125А IEK (4/80),MNV10-3-125,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,2,,,,,4
Выключатель 1-кл  на 2 модуля ВК0-21-00-П ПРАЙМЕР (100),280100120_,17,4,20,4,4,10,,7,15,4,13,14,9,,9,9,9,7,16,,11,7,20,2,22,4,50,14,1,22,4,5,2,335
Выключатель 1кл о/у 10А IP54 AQUATIC ВС-20-1-0-А IEK,ярп40257,42,27,19,69,88,56,62,6,75,128,15,43,3,5,63,19,44,46,122,52,119,93,42,119,70,42,97,,,31,54,25,115,1791
Выключатель 2-кл  на 2 модуля ВК1-22-00-П ПРАЙМЕР (100),280100119_,1,5,2,22,,13,8,29,8,,21,10,14,5,1,3,5,3,,1,1,,,,,1,22,16,,2,6,3,1,203
Выключатель 2кл. о/у 10А IP54 AQUATIC ВС-20-2-0-А IEK,ярп40260,9,9,8,45,17,8,17,14,35,30,12,12,17,17,20,10,16,33,17,8,11,15,11,58,,3,,1,1,6,2,2,1,465
Выключатель дифференциальный (УЗО) ВД1-63 2Р 25А 30мА тип А IEK,MDV11-2-025-030,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
Выключатель кнопочный 1кл. о/у 10А IP54 AQUATIC ВС-20-1-3-А IEK,280300644_,14,5,10,7,1,2,6,6,8,,,11,7,3,1,9,1,16,1,10,4,9,,4,,,21,1,1,,,,,158
Выключатель проходной 1кл о/у 10А IP54 AQUATIC ВС-20-1-2-А IEK,280300645_,30,31,24,44,24,16,61,8,30,25,28,58,105,17,24,50,42,39,40,92,67,97,48,66,159,17,39,79,133,45,39,33,9,1619
Выключатель-разъединитель трехпозиционный ВРТ-63 1P 50А IEK,MPR10-1-050,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
Выключатель-разъединитель трехпозиционный ВРТ-63 4P 50А IEK,MPR10-4-050,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,2
Гайка со стопорным буртом М8,щт-0001406,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000
"Гигростат механический УККг от 35 до 0,95 RH IEK (100) NEW",270300302_,,,,,,,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,6
"Гигростат электронный УККг от 40 до 0,9 RH IEK (100) NEW",270300301_,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
"Гигротерм от 0 до +60°C от 50 до 0,9 RH IEK (60) NEW",270300303_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
Гильза изолир. фазная ГИФ 16 IEK  (10)(200),130300518_,,1,50,,,6,14,6,20,,8,,,4,2,,,1,,,4,,,22,,,,,8,9,,6,6,167
Гильза изолир. фазная ГИФ 25 IEK  (10)(200) ,130300519_,,,,,,6,,,,,,9,,,,,,1,,6,,,,,,,,,,,,,5,27
Гильза изолир. фазная ГИФ 35 IEK  (10)(200),130300520_,,,15,5,,,,6,,,,,,,,,,1,,,,5,5,,,4,,,,,6,,2,49
Гильза изолир. фазная ГИФ 50 IEK  (10)(200) ,130300521_,,,5,10,,7,,,,,17,,,5,,,,11,,,,,5,2,,,,,,,,,,62
Дальномер лазерный DM60 Professional IEK,151000783_,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Датчик движения ""BRITE"" алюминий (1/80)",030200965_,,,,,,,,1,5,,,,,,,1,,,,,1,1,,,,1,,,,,,,,10
"Датчик движения ""BRITE"" белый (1/80)",030200961_,9,1,,4,,3,1,4,4,9,12,6,3,5,4,4,3,17,2,,12,1,4,11,3,8,1,11,2,6,,5,4,159
"Датчик движения ""BRITE"" графит (1/80)",030200963_,1,7,1,1,1,3,3,3,3,4,3,,1,2,3,3,1,,1,,1,4,1,,1,2,,,,3,,,,53
"Датчик движения ""BRITE"" сталь (1/80)",030200964_,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,2,3,11
"Датчик движения ""BRITE"" черный (1/80)",030200962_,,,1,6,,3,,7,2,,5,5,,8,,,,2,8,2,1,1,1,,,,,2,2,,,3,,59
"Датчик движения ДД 008 белый,до 1100 Вт,дальность 12 м IP44 IEK (48)",130300287_,5,4,5,21,15,37,,5,10,706,68,5,6,,2,,30,17,10,6,5,18,97,11,6,,4,12,,31,6,,2,1144
"Датчик движения ДД 008 черный,до 1100 Вт,дальность 12 м IP44 IEK (48)",151000369_,,4,2,2,10,7,3,12,6,11,7,3,3,5,,,6,9,13,1,12,6,11,3,17,2,3,,10,9,8,11,13,209
"Датчик движения ДД 009 черный,до 1100 Вт,дальность 12 м IP44 IEK (48)",151000691_,12,-4,,2,13,7,,,6,3,17,2,,2,11,10,18,4,1,1,12,11,8,6,6,2,10,12,10,1,2,,12,197
"Датчик движения ДД 010 белый,до 1100 Вт,дальность 10 м IP44 IEK (48)",130300288_,3,5,12,5,15,1,20,10,2,15,3,10,,,,5,,10,1,,10,3,1,,,3,12,,1,,2,,,149
"Датчик движения ДД 010 черный,до 1100 Вт,дальность 10 м IP44 IEK (48)",151000692_,,,,4,,2,4,,1,1,1,,,,,,7,,3,2,3,1,1,1,,,,,4,,,,,35
"Датчик движения ДД 012 черный,до 1100 Вт,дальность 10 м IP44 IEK (48)",151000693_,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,3
"Датчик движения ДД 013 белый,до 1200 Вт,дальность 12 м IP65 IEK (50)",130200298_,4,10,7,14,5,15,4,13,8,10,5,20,7,2,2,3,6,2,1,11,3,8,,12,4,,,,4,1,5,,,186
"Датчик движения ДД 016 угловой белый,до 800 Вт,дальность 12 м IP44  IEK (50)",130200299_,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,4
"Датчик движения ДД 017 белый, макс. нагрузка 1100Вт, угол обзора 120град., дальность 12м, IP44 IEK",081100779_,,,,,1,,,,,,,5,,,12,12,,4,1,1,1,2,5,10,1,4,,,1,2,3,4,2,71
"Датчик движения ДД 018В белый, макс. нагрузка 1100Вт, угол обзора 270град., дальность 12м, IP44, IEK",081100771_,,,,,10,1,1,6,,,,,1,,,,,,,,,12,,,,,,,,1,5,,,37
Датчик движения ДД 022 белый 2000Вт 360гр 4мх20м IP20 IEK,081100772_,7,,,1,23,,11,,14,4,5,3,1,3,5,4,,12,8,3,,4,1,4,3,1,,,,,,,,117
"Датчик движения ДД 024 белый,до 1100 Вт,дальность 6 м IP33 IEK (60)",130200128_,98,417,179,41,90,104,77,76,301,210,343,23,133,237,25,78,159,167,114,1,14,8,95,25,66,,151,100,16,26,,41,3,3418
"Датчик движения ДД 026 белый,до 2000 Вт,дальность 6 м IP20 IEK  (50)",130200300_,21,,52,,7,10,4,9,15,20,8,3,3,4,,14,,33,29,,1,20,6,6,8,,13,1,2,,,,,289
Датчик движения ДД 030 белый 500Вт 160гр 9м IP20 IEK E-PRO,081100776_,,,,1,,,,,,,,4,,,,,,,,,,,,4,3,2,,,2,,,,,16
Датчик движения ДД 031 белый 500Вт 190гр 9м IP20 IEK E-PRO,081100777_,,,,,,,,,,1,1,,,,,2,,,,,,6,,,,,2,,3,,,,,15
"Датчик движения ДД 035 белый, макс. нагрузка 500Вт, угол обзора 140град., дальность 12м, IP20, IEK E",081100778_,1,1,4,3,,15,3,2,,5,3,10,,1,3,1,,5,,1,3,7,6,3,1,3,2,2,2,4,3,2,4,100
"Датчик движения ДД 045 белый E27,до 60 Вт,дальность 6 м IP20 IEK  (50)",130200301_,,2,,,,,,,,,2,,2,,,,,2,1,,,2,,24,1,,,,,,,,,36
"Датчик движения ДД 201 белый, 1200Вт, 360 гр.,6М,IP20,IEK",081100774_,82,91,27,,1,20,,1,81,17,22,37,5,,1,7,24,,15,28,14,8,30,5,10,,,,,,,,4,530
"Датчик движения ДД 401 белый,до 800 Вт,дальность 8 м IP20 IEK (50)",130200302_,,,4,21,18,8,2,,35,3,49,54,,,,8,,6,7,1,1,4,11,14,,,,,,,,1,,247
"Датчик движения МВ 301 белый,1200 Вт, 360гр. дальность 8 м IP20 IEK (50) ",130300764_,45,10,21,2,8,,54,15,19,13,16,41,13,,29,22,26,18,3,29,18,25,,39,,,,,,,,,,466
"Датчик движения МВ 401 белый, 1200 Вт, 360гр. дальность 8 м IP20 IEK (100)",130300765_,,5,,,,27,,8,1,4,29,,,2,,,10,,,20,1,6,5,45,1,,,,8,1,,,,173
Держатель горизонтальный VH200 IEK (20),280300092_,94,48,80,75,22,56,10,83,104,67,22,12,69,9,100,,90,74,3,68,30,4,50,9,80,11,15,,,40,,,,1325
Держатель потолочный DR IEK (50),010800070_,,,,,,,,,,,20,,,,,,,,30,,,,,,50,,,,20,,,,,120
Детектор напряжения бесконтактный VD10 ARMA2L 5 IEK (300) NEW,130200430_,,,,4,5,3,4,15,10,8,21,12,8,11,19,15,11,5,11,3,17,4,10,5,12,1,,,,3,4,2,11,234
Доп. контакт ДК-250(400)А (АК-35/37)  TDM !!!,011100126_,,,,,,,1,,,,,,4,,,,,,,,,,,6,,,,,3,,,,,14
Доп. контакт ДК-250(400)А IEK !!!,010800049_,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,3
Доп. контакт ДК-630/800/1600 А IEK !!!,010800050_,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,3
Доп. контакт ДК32-20 IEK !!! (200),010800058_,,,2,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,29
Доп. контакт поперечный ДКП32-11 IEK !!! (1000),010800057_,,,,,10,,7,,,,50,3,,,,,,,,,,,,,,,,,,,,,,70
Доп. контакт поперечный ДКП32-20 IEK !!! (1000),010800056_,,,,,,,,,,,2,,,,,,,,,,,,,,4,,3,,,,,,2,11
Дополнительная вводная клемма для CTS 70/120мм2 серая IEK,130301725_,,,,,,,,,,,,,,1,,8,,,,,,,,,,,,,,,,,,9
Дюбель-хомут  5-8мм нейлон чёрный IEK (100) ,240100112_,305,340,296,895,533,575,687,811,599,403,377,392,601,414,363,673,747,722,523,531,671,534,467,539,211,292,302,659,310,427,547,403,454,16603
Дюбель-хомут 11-18мм нейлон бел. IEK (100),240100111_,179,144,171,95,73,93,118,101,270,64,213,63,30,49,122,126,58,111,55,139,31,86,150,310,96,314,70,152,310,122,18,150,,4083
Дюбель-хомут 19-25мм нейлон бел. IEK (100) ,240100090_,,,129,151,6,225,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,526
Заглушка  80х40  ПРАЙМЕР (216),280100118_,30,55,56,13,26,7,113,33,62,,39,47,63,11,37,77,66,68,73,71,34,42,72,80,201,27,20,81,39,90,34,32,11,1710
Заглушка 100х40  ПРАЙМЕР (216),ст-9948468,142,62,,,21,55,86,164,64,34,31,75,47,73,35,13,83,44,30,95,67,45,81,55,21,15,74,46,33,46,16,44,8,1705
Заглушка 100х60  ПРАЙМЕР (216),ст-9951102,,,,4,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,7
Заглушка 12 модулей серая,250200029_,,,,,,,,,5,20,20,,55,,,,,,,,,,,,,,,,,,,,,100
"Заглушка c суппортом ""BRITE"" алюминий (1/200)",030200889_,,,,,,,1,,,,,,,,,,,,,,,,1,,,,2,,,,3,,,7
"Заглушка c суппортом ""BRITE"" графит (1/200)",030200891_,,,1,,3,,16,-14,1,,3,2,,,,10,10,,5,2,,,,2,,,,,,1,2,2,2,48
"Заглушка c суппортом ""BRITE"" сталь (1/200)",030200890_,1,,,,,1,11,,1,,,,,,1,,,,,3,,,,,,,,,,,2,,,20
"Заглушка c суппортом ""BRITE"" черный (1/200)",030200892_,,,6,,13,23,16,,2,6,-5,32,,2,24,4,10,10,,2,11,12,,6,2,1,1,12,1,,2,2,3,198
Заглушка H80*150 IEK !!!,280300273_,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Заглушка для CP 4мм2 серая IEK,130301712_,,,,,,,,,,,,,,,,,16,,,,,,,,,,,4,,6,,,,26
