№,Код 1с,Артикул поставщика,Наименование,Мин. разр. к отгр.
1201,280300083_,CLWG10-060-060-3, Лоток проволочный (50х80х3000) IEK (6),18
1202,280300084_,CLWG10-060-100-3, Лоток проволочный (60х100х3000) IEK (6),18
1203,280300085_,CLWG10-060-200-3, Лоток проволочный (60х200х3000) IEK (6),6
1204,280300088_,CLWG10-060-300-3, Лоток проволочный (60х300х3000) IEK (6),6
1205,280300279_,CLN10-050-100-3,ESCA Лоток неперфорированный 50х100х3000 IEK,12
1206,280300280_,CLN10-050-050-3,ESCA Лоток неперфорированный 50х50х3000 IEK,18
1207,280300011_,CLP1K-050-1,Крышка на лоток осн.  50мм. IEK (6),6
1208,280300005_,CLP1K-100-1,Крышка на лоток осн. 100мм. IEK (6),6
1209,280300289_,CLP1K-150-1,Крышка на лоток осн. 150 мм. IEK (6),6
1210,280300007_,CLP1K-200-1,Крышка на лоток осн. 200мм. IEK (6),6
1211,280300037_,CLP1K-300-1,Крышка на лоток осн. 300мм. IEK (6),6
1212,280300009_,CLP1K-400-3,Крышка на лоток осн. 400мм. IEK (6),6
1213,280300038_,CLP1K-500-3,Крышка на лоток осн. 500мм. IEK (6),6
1214,280300092_,CLW10-VH-200,Держатель горизонтальный VH200 IEK (20),20
1215,010800070_,CLW10-DR,Держатель потолочный DR IEK (50),50
1216,280300024_,CLP1Q-050,Скоба потолочная IEK (40),32
1217,280300003_,CLP1CW-100-1,Кронштейн настенный осн.100мм. IEK (4),4
1218,280300004_,CLP1CW-200-1,Кронштейн настенный осн.200мм. IEK (4),4
1219,280300082_,CLP1CW-300-1,Кронштейн настенный осн.300мм IEK,4
1220,280300122_,CLP1CW-400-1,Кронштейн настенный осн.400мм. IEK (4),4
1221,280300017_,CLP1S-050,Пластина соединительная  h 50 IEK (2),#N/A
1222,280300048_,CLP1S-100,Пластина соединительная h 100 IEK (2),#N/A
1223,280300104_,CLW10-CR,Площадка фиксаторная CR IEK (200),200
1224,280300250_,CLP1F-080-2,Разделительная перегородка h 80 IEK,2
1225,280300071_,CLP2P-050-050,Поворот 90º   50х50 IEK,1
1226,280300072_,CLP2P-050-100,Поворот 90º  50х100 IEK,1
1227,280300073_,CLP2P-050-200,Поворот 90º  50х200 IEK,1
1228,280300020_,CLP1N-050-100,Поворот 90º вертикальный внешний  50х100 IEK,1
1229,280300040_,CLP1N-050-200,Поворот 90º вертикальный внешний  50х200 IEK,1
1230,280300056_,CLP1V-050-100,Поворот 90º вертикальный внутренний  50х100 IEK,1
1231,280300057_,CLP1V-050-200,Поворот 90º вертикальный внутренний  50х200 IEK,1
1232,280300021_,CLP1T-050-100,Разветвитель Т-образный  50х100 IEK,1
1233,280300022_,CLP1T-050-200,Разветвитель Т-образный  50х200 IEK,1
1234,280300054_,CLP1T-100-400,Разветвитель Т-образный 100х400 IEK,1
1235,280300269_,CLP1C-020-030,Профиль перфорированный C-образный IEK,2
1236,280300734_,CMZ13-SBT-08-030,STRUT-болт с конусной пружиной  М8х30 IEK,50
1237,280300735_,CMZ13-SBT-08-040,STRUT-болт с конусной пружиной  М8х40 IEK,50
1238,280300736_,CMZ13-SBT-08-050,STRUT-болт с конусной пружиной  М8х50 IEK,50
1239,280300733_,CMZ13-SBT-10-050,STRUT-болт с конусной пружиной М10х50 IEK,50
1240,280300738_,CMZ13-SGH-08,STRUT-гайка с конусной пружиной  М8 IEK,25
1241,280300737_,CMZ13-SGH-10,STRUT-гайка с конусной пружиной М10 IEK,25
1242,280300742_,CLP1S-41-21-04-15,"STRUT-профиль  перфорированный  41х21х400-1,5 IEK",2
1243,280300743_,CLP1S-41-21-05-15,"STRUT-профиль  перфорированный  41х21х500-1,5 IEK",2
1244,280300741_,CLP1S-41-21-20-15,"STRUT-профиль перфорированный  41х21х2000-1,5 IEK",2
1245,280300739_,CLP1S-41-21-20-20,"STRUT-профиль перфорированный 41x21х2000-2,0 IEK",2
1246,280300740_,CLP1S-41-21-20-25,"STRUT-профиль перфорированный 41x21х2000-2,5 IEK",2
1247,280300744_,CLM50D-CSO-41-21-02,Консоль STRUT 41х21-200 EZ IEK,2
1248,280300745_,CLM50D-CSO-41-21-03,Консоль STRUT 41х21-300 EZ IEK,2
1249,280300673_,CLM50D-PSS-185-40,Пластина соед. с 4 отверстиями для STRUT-профиля EZ IEK,20
1250,280300746_,CLM50D-PTS-136-40,Пластина соединительная T-образная для STRUT-профиля EZ IEK,20
1251,280300747_,CLM50D-UUS-107-40,Уголок крепежный двойной усиленный для STRUT-профиля EZ IEK,4
1252,280300748_,CLM50D-UOS-058-40,Уголок крепежный одинарный для STRUT-профиля EZ IEK,20
1253,280100103_,CKK30-070-016-3-K03,Кабель-канал напольный 70х16  ЭЛЕКОР (42м),42
1254,130301079_,UIZ-20-10-K52,"Изолента 0,18х19 мм желто-зеленая 20 метров IEK (10) (200)",10
1255,130200134_,YND10-2-07-100,"Шина ""N"" нулевая 2х 7 групп на DIN-рейку в корпусе  IEK (10)",10
1256,130200133_,YND10-2-15-125,"Шина ""N"" нулевая 2х15 групп на DIN-рейку в корпусе  IEK (10)",10
1257,130200136_,YND10-4-07-100,"Шина ""N"" нулевая 4х 7 групп на DIN-рейку в корпусе IEK (10)",10
1258,130200135_,YND10-4-11-125,"Шина ""N"" нулевая 4х11 групп на DIN-рейку в корпусе IEK (10)",10
1259,130200074_,YNN10-08-100,"Шина ""N"" нулевая 6х9мм  8/1 (крепеж по центру) IEK (10/960)",10
1260,130200075_,YNN11-08-100,"Шина ""N"" нулевая 6х9мм  8/2 (крепеж по краям) IEK (10/960)",10
1261,130200006_,YNN10-14-100,"Шина ""N"" нулевая 6х9мм 14/1 (крепеж по центру) IEK (10)",10
1262,130200007_,YNN11-14-100,"Шина ""N"" нулевая 6х9мм 14/2 (крепеж по краям) IEK (10)",10
1263,130200125_,YNN10-69-12P-K07,"Шина ""N"" нулевая 6х9мм комб с изол ""Стойка"" ШНИ 12С IEK (20)",10
1264,130200126_,YNN10-69-14P-K07,"Шина ""N"" нулевая 6х9мм комб с изол ""Стойка"" ШНИ 14С IEK (20)",10
1265,130200127_,YNN10-69-12KD-K06,"Шина ""N"" нулевая 6х9мм на DIN-рейку в корпусном изоляторе ШНИ 12К IEK (10)",10
1266,130200089_,YNN10-69-12D-K07,"Шина ""N"" нулевая 6х9мм с изол  12-Д-С IEK (20)",20
1267,130200008_,YNN20-14-100,"Шина ""N"" нулевая 8х12мм 14/1 (крепеж по центру) IEK (10)",10
1268,130200063_,YNN21-14-100,"Шина ""N"" нулевая 8х12мм 14/2 (крепеж по краям) IEK (10)",10
1269,130200120_,YNN10-812-6DP-K07,"Шина ""N"" нулевая 8х12мм комб с изол ""Стойка"" ШНИ  6 КС IEK (20)",20
1270,130200121_,YNN10-812-8DP-K07,"Шина ""N"" нулевая 8х12мм комб с изол ""Стойка"" ШНИ  8 КС IEK (20)",20
1271,130200122_,YNN10-812-10DP-K07,"Шина ""N"" нулевая 8х12мм комб с изол ""Стойка"" ШНИ 10 КС IEK (20)",20
1272,130200123_,YNN10-812-12DP-K07,"Шина ""N"" нулевая 8х12мм комб с изол ""Стойка"" ШНИ 12 КС IEK (20)",20
1273,130200124_,YNN10-812-14DP-K07,"Шина ""N"" нулевая 8х12мм комб с изол ""Стойка"" ШНИ 14 КС IEK (20)",20
1274,130200409_,YNN10-812-8DP-K05,"Шина РЕ ""земля"" в комб DIN-изол ""Стойка"" ШНИ-8х12-8-КС-Ж IEK",20
1275,130200012_,YNS21-1-063,Шина соединительная PIN (штырь) 1ф 63А (1м) IEK (40),40
1276,130200015_,YNS21-3-063,Шина соединительная PIN (штырь) 3ф  63А (1м) IEK (10),10
1277,130200154_,YNS21-3-063-22-12,Шина соединительная PIN (штырь) 3ф  63А (22см) IEK (10),10
1278,130200013_,YNS21-3-100,Шина соединительная PIN (штырь) 3ф 100А (1м) IEK (10),5
1279,130301680_,YZN42-03-300-K02,Блок зажимов БЗН TC-6003 300 мм2 600A 3 пары IEK,#N/A
1280,130301681_,YZN43-10-001-K02,"Блок зажимов БЗН TK-010 1,5 мм2 10А на DIN-рейку 10 пар IEK",1
1281,130301682_,YZN43-10-002-K02,"Блок зажимов БЗН TK-020 2,5 мм2 20А на DIN-рейку 10 пар IEK",1
1282,130301683_,YZN43-10-010-K02,Блок зажимов БЗН TK-060 10 мм2 60А на DIN-рейку 10 пар IEK,1
1283,130301674_,YZN41-04-010-K02,Блок зажимов БЗН ТВ-1004 10 мм2 100А 4 пары IEK,10
1284,130301673_,YZN41-04-001-K02,"Блок зажимов БЗН ТВ-1504 1,5 мм2 15А 4 пары IEK",100
1285,130301675_,YZN41-06-001-K02,"Блок зажимов БЗН ТВ-1506 1,5 мм2 15А 6 пар IEK",100
1286,130301676_,YZN41-06-002-K02,"Блок зажимов БЗН ТВ-2506 2,5 мм2 25А 6 пар IEK",50
1287,130301678_,YZN41-12-002-K02,"Блок зажимов БЗН ТВ-2512 2,5 мм2 25А 12 пар IEK",25
1288,130301677_,YZN41-06-004-K02,"Блок зажимов БЗН ТВ-4506 4,5 мм2 45А 6 пар IEK",25
1289,130301679_,YZN41-12-004-K02,"Блок зажимов БЗН ТВ-4512 4,5 мм2 45А 12 пар IEK",20
1290,130301739_,YCT15-00-K03-006-SP,Вилка закорачивающая для CTS-DT 6мм2 2PIN ИЭК,25
1291,130301725_,YCT10-00-K03-070-AUX,Дополнительная вводная клемма для CTS 70/120мм2 серая ИЭК,10
1292,130301712_,YCT20-00-K03-004-ZGL,Заглушка для CP 4мм2 серая ИЭК,50
1293,130301713_,YCT22-00-3-K03-001-ZGL,"Заглушка для CP-MC 3 вывода 1,5мм2 серая ИЭК",50
1294,130301715_,YCT22-00-3-K03-002-ZGL,"Заглушка для CP-MC 3 вывода 2,5мм2 серая ИЭК",50
1295,130301717_,YCT22-00-3-K03-004-ZGL,Заглушка для CP-MC 3 вывода 4мм2 серая ИЭК,50
1296,130301714_,YCT22-00-4-K03-001-ZGL,"Заглушка для CP-MC 4 вывода 1,5мм2 серая ИЭК",50
1297,130301716_,YCT22-00-4-K03-002-ZGL,"Заглушка для CP-MC 4 вывода 2,5мм2 серая ИЭК",50
1298,130301718_,YCT22-00-4-K03-004-ZGL,Заглушка для CP-MC 4 вывода 4мм2 серая ИЭК,50
1299,130301719_,YCT23-00-2-K03-001-ZGL,"Заглушка для CP-ML 2 ур. 1,5мм2 серая ИЭК",50
1300,130301720_,YCT23-00-2-K03-002-ZGL,"Заглушка для CP-ML 2 ур. 2,5мм2 серая ИЭК",50
1301,130301721_,YCT23-00-2-K03-004-ZGL,Заглушка для CP-ML 2 ур. 4мм2 серая ИЭК,50
1302,130301644_,YCT10-00-K03-002-ZGL,"Заглушка для CTS 2,5/4мм2 серая IEK",50
1303,130301645_,YCT10-00-K07-002-ZGL,"Заглушка для CTS 2,5/4мм2 синяя IEK",50
1304,130301646_,YCT10-00-K03-006-ZGL,Заглушка для CTS 6/10мм2 серая IEK,50
1305,130301706_,YCT10-00-K07-006-ZGL,Заглушка для CTS 6/10мм2 синяя ИЭК,50
1306,130301711_,YCT15-04-K03-004-ZGL,Заглушка для CTS-DT 4мм2 серая ИЭК,50
1307,130301709_,YCT12-00-3-K03-004-ZGL,Заглушка для CTS-MC 3 вывода 4мм2 серая ИЭК,50
1308,130301710_,YCT12-00-4-K03-004-ZGL,Заглушка для CTS-MC 4 вывода 4мм2 серая ИЭК,50
1309,130301708_,YCT13-00-2-K03-004-ZGL,Заглушка для CTS-ML 2 ур. 4мм2 серая ИЭК,50
1310,130301707_,YCT13-00-3-K03-002-ZGL,"Заглушка для CTS-ML 3 ур. 2,5мм2 серая ИЭК",50
1311,130301660_,YZN11D-3-ZGL-002-K07,"Заглушка для КПИ 3в-1,5/2,5 3 вывода синяя IEK",100
1312,130301665_,YZN12-095-K07,Клемма вводная силовая КВС 16-95 кв.мм. синяя IEK,8
1313,130301671_,YZN22-150-K52,Клемма вводная силовая КВС 35-150 кв.мм. PE IEK,5
1314,130301666_,YZN12-150-K07,Клемма вводная силовая КВС 35-150 кв.мм. синяя IEK,5
1315,130301672_,YZN22-240-K52,Клемма вводная силовая КВС 35-240 кв.мм. PE IEK,#N/A
1316,130301667_,YZN12-240-K03,Клемма вводная силовая КВС 35-240 кв.мм. серая IEK,2
1317,130301668_,YZN12-240-K07,Клемма вводная силовая КВС 35-240 кв.мм. синяя IEK,2
1318,130301669_,YZN14-050-K03,Клемма вводная силовая КВС 6-50 кв.мм. 3-рядная серая IEK,8
1319,130301670_,YZN22-050-K52,Клемма вводная силовая КВС 6-50 кв.мм. PE IEK,10
1320,030300499_,YZN12-050-K03,Клемма вводная силовая КВС 6-50 кв.мм. серая IEK ,10
1321,YZN30-002-K03,YZN30-002-K03,"Клемма винтовая КВИ-2,5мм2 серая IEK E-PRO",50
1322,130301651_,YZN11-001-K05,"Клемма пружинная КПИ 2в-1,5 17,5А желтый IEK",60
1323,130301650_,YZN11-001-K04,"Клемма пружинная КПИ 2в-1,5 17,5А красный IEK",60
1324,130301652_,YZN11-001-K07,"Клемма пружинная КПИ 2в-1,5 17,5А синий IEK",60
1325,130301654_,YZN11-002-K04,"Клемма пружинная КПИ 2в-2,5 31А красный IEK",50
1326,130301656_,YZN11-002-K09,"Клемма пружинная КПИ 2в-2,5 31А оранжевый IEK",50
1327,130301653_,YZN11-002-K03,"Клемма пружинная КПИ 2в-2,5 31А серый IEK",50
1328,130301655_,YZN11-002-K07,"Клемма пружинная КПИ 2в-2,5 31А синий IEK",50
1329,130301657_,YZN11-006-K03,Клемма пружинная КПИ 2в-6 57А серый IEK,24
1330,130301658_,YZN11-006-K07,Клемма пружинная КПИ 2в-6 57А синий IEK,24
1331,130301659_,YZN11-3-002-K07,"Клемма пружинная КПИ 3в-2,5 3 вывода 31А синий IEK",45
1332,130301634_,YCT20-00-K03-001,"Колодка клеммная CP 1,5мм2 серая IEK",100
1333,130301689_,YCT20-00-K03-010,Колодка клеммная CP 10мм2 серая ИЭК,100
1334,130301635_,YCT20-00-K03-002,"Колодка клеммная CP 2,5мм2 серая IEK",100
1335,130301636_,YCT20-00-K03-004,Колодка клеммная CP 4мм2 серая IEK,100
1336,130301704_,YCT25-04-K03-002,"Колодка клеммная CP-DT измерит. нож. разм. 2,5мм2 серая ИЭК",100
1337,130301705_,YCT25-04-K03-004,Колодка клеммная CP-DT измерит. нож. разм. 4мм2 серая ИЭК,50
1338,130301637_,YCT22-00-3-K03-001,"Колодка клеммная CP-MC 3 вывода 1,5мм2 серая IEK",100
1339,130301693_,YCT22-00-3-K03-010,Колодка клеммная CP-MC 3 вывода 10мм2 серая ИЭК,50
1340,130301638_,YCT22-00-3-K03-002,"Колодка клеммная CP-MC 3 вывода 2,5мм2 серая IEK",100
1341,130301691_,YCT22-00-3-K03-004,Колодка клеммная CP-MC 3 вывода 4мм2 серая ИЭК,50
1342,130301690_,YCT22-00-4-K03-001,"Колодка клеммная CP-MC 4 вывода 1,5мм2 серая ИЭК",100
1343,130301639_,YCT22-00-4-K03-002,"Колодка клеммная CP-MC 4 вывода 2,5мм2 серая IEK",100
1344,130301692_,YCT22-00-4-K03-004,Колодка клеммная CP-MC 4 вывода 4мм2 серая ИЭК,50
1345,130301698_,YCT22-03-3-K52-001,"Колодка клеммная CP-MC-PEN земля 3 вывода 1,5мм2 ИЭК",100
1346,130301643_,YCT22-03-3-K52-010,Колодка клеммная CP-MC-PEN земля 3 вывода 10мм2 IEK,50
1347,130301642_,YCT22-03-3-K52-002,"Колодка клеммная CP-MC-PEN земля 3 вывода 2,5мм2 IEK",100
1348,130301701_,YCT22-03-3-K52-004,Колодка клеммная CP-MC-PEN земля 3 вывода 4мм2 ИЭК,50
1349,130301699_,YCT22-03-4-K52-001,"Колодка клеммная CP-MC-PEN земля 4 вывода 1,5мм2 ИЭК",100
1350,130301700_,YCT22-03-4-K52-002,"Колодка клеммная CP-MC-PEN земля 4 вывода 2,5мм2 ИЭК",100
1351,130301702_,YCT22-03-4-K52-004,Колодка клеммная CP-MC-PEN земля 4 вывода 4мм2 ИЭК,50
1352,130301695_,YCT23-00-2-K03-001,"Колодка клеммная CP-ML 2 ур. 1,5мм2 серая ИЭК",50
1353,130301640_,YCT23-00-2-K03-002,"Колодка клеммная CP-ML 2 ур. 2,5мм2 серая IEK",50
1354,130301696_,YCT23-00-2-K03-004,Колодка клеммная CP-ML 2 ур. 4мм2 серая ИЭК,50
1355,130301703_,YCT23-04-2-K03-002,"Колодка клеммная CP-ML 2 ур. нож. разм. 2,5мм2 серая ИЭК",50
1356,130301694_,YCT23-03-2-K03-001,"Колодка клеммная CP-ML-PEN 2 ур. земля-низ 1,5мм2 серая ИЭК",50
1357,130301641_,YCT21-00-K52-002,"Колодка клеммная CP-PEN земля 2,5мм2 желто-зеленая IEK",100
1358,130301697_,YCT21-00-K52-004,Колодка клеммная CP-PEN земля 4мм2 желто-зеленая ИЭК,100
1359,130301608_,YCT10-00-K03-002,"Колодка клеммная CTS   2,5мм2 серая IEK",100
